feature_set,model,metric,value
lfp_only,logistic_regression,balanced_accuracy,0.43846153846153846
lfp_only,logistic_regression,roc_auc,0.44820512820512826
lfp_only,logistic_regression,accuracy,0.44
lfp_only,svm_rbf,balanced_accuracy,0.46282051282051284
lfp_only,svm_rbf,roc_auc,0.348974358974359
lfp_only,svm_rbf,accuracy,0.464
lfp_only,random_forest,balanced_accuracy,0.36730769230769234
lfp_only,random_forest,roc_auc,0.3123076923076923
lfp_only,random_forest,accuracy,0.368
weight_only,logistic_regression,balanced_accuracy,0.7865384615384615
weight_only,logistic_regression,roc_auc,0.7943589743589745
weight_only,logistic_regression,accuracy,0.784
weight_only,svm_rbf,balanced_accuracy,0.7294871794871796
weight_only,svm_rbf,roc_auc,0.6964102564102566
weight_only,svm_rbf,accuracy,0.728
weight_only,random_forest,balanced_accuracy,0.608974358974359
weight_only,random_forest,roc_auc,0.7338461538461539
weight_only,random_forest,accuracy,0.608
lfp_plus_weight,logistic_regression,balanced_accuracy,0.6807692307692308
lfp_plus_weight,logistic_regression,roc_auc,0.7148717948717949
lfp_plus_weight,logistic_regression,accuracy,0.68
lfp_plus_weight,svm_rbf,balanced_accuracy,0.6698717948717949
lfp_plus_weight,svm_rbf,roc_auc,0.6797435897435897
lfp_plus_weight,svm_rbf,accuracy,0.672
lfp_plus_weight,random_forest,balanced_accuracy,0.566025641025641
lfp_plus_weight,random_forest,roc_auc,0.556025641025641
lfp_plus_weight,random_forest,accuracy,0.568
lfp_only,logistic_regression,perm_null_mean_balanced_accuracy,0.4886565119859073
lfp_only,logistic_regression,perm_p_value_balanced_accuracy,0.7022977022977023
weight_only,logistic_regression,perm_null_mean_balanced_accuracy,0.5060176777224469
weight_only,logistic_regression,perm_p_value_balanced_accuracy,0.006993006993006993
lfp_plus_weight,logistic_regression,perm_null_mean_balanced_accuracy,0.4898267209414863
lfp_plus_weight,logistic_regression,perm_p_value_balanced_accuracy,0.024975024975024976
